zone_id,timestamp,total_consumption,mean_consumption,std_consumption,meter_count,max_consumption,min_consumption,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,zone_roll_mean_24h,zone_lag_24h,zone_lag_7d
zone_0,2024-01-01 00:00:00,4.3012,0.43011999999999995,1.1104714882527251,10,3.59,0.0546,0,0,1,0,0.0,1.0,0.0,1.0,4.3012,,
zone_0,2024-01-01 00:15:00,3.9431,0.39431,1.001264717411601,10,3.2432,0.0533,0,0,1,0,0.0,1.0,0.0,1.0,4.1221499999999995,,
zone_0,2024-01-01 00:30:00,4.2979,0.42979,0.957147737870759,10,3.1255,0.0593,0,0,1,0,0.0,1.0,0.0,1.0,4.180733333333333,,
zone_0,2024-01-01 00:45:00,3.9371,0.39371,0.9908629667001273,10,3.2132,0.063,0,0,1,0,0.0,1.0,0.0,1.0,4.119825,,
zone_0,2024-01-01 01:00:00,4.1951,0.41951,1.0760621145330473,10,3.481,0.0517,1,0,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,4.13488,,
zone_0,2024-01-01 01:15:00,4.3079,0.43079,1.1141310529835449,10,3.6011,0.0567,1,0,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,4.163716666666667,,
zone_0,2024-01-01 01:30:00,4.3482,0.43482000000000004,1.12438621162343,10,3.6341,0.0558,1,0,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,4.190071428571429,,
zone_0,2024-01-01 01:45:00,4.4021,0.44021,1.1380836821897882,10,3.6784,0.0531,1,0,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,4.216575,,
zone_0,2024-01-01 02:00:00,4.242,0.4242,1.0910041501092265,10,3.5286,0.0601,2,0,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,4.2194,,
zone_0,2024-01-01 02:15:00,3.8222000000000005,0.38222000000000006,0.9548301382386759,10,3.099,0.0572,2,0,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,4.179679999999999,,
zone_0,2024-01-01 02:30:00,4.0488,0.40488,1.0456255531180048,10,3.3802,0.0506,2,0,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,4.167781818181818,,
zone_0,2024-01-01 02:45:00,4.0975,0.40975,1.0448287507210612,10,3.3826,0.0501,2,0,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,4.161925,,
zone_0,2024-01-01 03:00:00,4.4248,0.44248000000000004,1.1416096022721602,10,3.6909,0.0518,3,0,1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,4.182146153846154,,
zone_0,2024-01-01 03:15:00,4.2612,0.42611999999999994,1.0968863283555563,10,3.5473,0.0559,3,0,1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,4.187792857142857,,
zone_0,2024-01-01 03:30:00,4.0169999999999995,0.40169999999999995,1.0238796272565986,10,3.315,0.0528,3,0,1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,4.176406666666667,,
zone_0,2024-01-01 03:45:00,4.225,0.4225,1.0933124205317017,10,3.5335,0.0535,3,0,1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,4.17944375,,
zone_0,2024-01-01 04:00:00,4.4169,0.44169,1.1426013735234952,10,3.693,0.0528,4,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,4.193411764705882,,
zone_0,2024-01-01 04:15:00,4.3861,0.43861,1.1341280345612559,10,3.666,0.0628,4,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,4.204116666666667,,
zone_0,2024-01-01 04:30:00,3.9733,0.39733,1.0229650152049843,10,3.3081,0.0489,4,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,4.191968421052632,,
zone_0,2024-01-01 04:45:00,3.9416999999999995,0.39416999999999996,0.9972095133142506,10,3.2312,0.0532,4,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,4.179455,,
zone_0,2024-01-01 05:00:00,4.333500000000001,0.43335000000000007,1.0113164042199871,10,3.3113,0.0956,5,0,1,0,0.9659258262890683,0.25881904510252074,0.0,1.0,4.186790476190477,,
zone_0,2024-01-01 05:15:00,4.76,0.476,1.14011071684581,10,3.7206,0.0919,5,0,1,0,0.9659258262890683,0.25881904510252074,0.0,1.0,4.212845454545454,,
zone_0,2024-01-01 05:30:00,4.1134,0.41134000000000004,0.9524713518001473,10,3.1216,0.0862,5,0,1,0,0.9659258262890683,0.25881904510252074,0.0,1.0,4.208521739130434,,
